동,label,면적,가구수,인구,인구밀도,상권월소득금액,상권지출총금액,유동인구(08),유동인구(19),은행,주차장,사업체
번2동,0,1.25,6955,18746,14997,3038500,18674921512,13276.5997,11218.6308,0,480,656
번3동,0,0.86,7243,20235,23529,2697146,10150165435,16757.7632,14414.0751,1,125,860
수유1동,0,1.07,8725,22927,21427,2431276,10620725489,21283.5767,18745.0656,2,913,1449
수유2동,0,0.73,8256,22644,31019,2742740,19429002150,21120.7274,20228.0436,1,730,1363
삼양동,0,0.95,10921,30085,31668,2458186,14756040699,25996.2844,24267.6175,1,633,1176
미아동,0,0.73,9625,23756,32542,3107656,10268107498,23481.4311,24781.9252,2,913,1639
송중동,0,1.22,11854,31068,25466,3530374,13121224384,33052.8898,36495.8699,2,1043,1955
삼각산동,0,0.62,11225,34782,56100,3029174,13646860356,25413.8502,21291.2821,2,44,781
우이동,0,10.95,7817,21904,2000,2929935,15694013379,20290.8665,17150.2038,2,1006,993
인수동,0,2.93,12238,33332,11376,2477632,11346779457,29761.9541,27044.0458,1,1490,1550
쌍문1동,0,1.24,8113,22590,18218,2653688,13391572226,19763.4841,18773.0427,2,850,928
쌍문2동,0,0.54,7842,21294,39433,3269120.179,15449110316,19552.5508,17577.5499,1,753,1308
쌍문4동,0,0.52,6788,21102,40581,3104819,12268602468,15076.694,14441.6054,0,167,616
방학2동,0,0.74,8382,22631,30582,2969491,16019964175,15090.4502,15777.9473,0,1290,1244
방학3동,0,2.64,9601,30909,11708,3528027.763,10397154720,24195.1465,19152.4327,3,147,871
창2동,0,1.07,10946,31123,29087,2672721,13253377570,28227.7625,26783.0986,1,1067,1398
창3동,0,0.67,6037,15821,23613,2679649,22862312208,13209.6166,12789.7676,0,791,969
갈현1동,0,0.97,9527,25892,26693,2589281,14981843513,26360.7366,26933.1554,2,1606,1419
갈현2동,0,0.96,10620,30309,31572,2809182,23249257868,26762.0692,28634.7168,2,1618,1594
구산동,0,1.38,10861,34330,24877,2752910,24601016605,27388.4367,23397.9674,0,1364,1209
진관동,0,11.53,16259,53613,4654,3406522.348,14473225187,67538.0117,65765.4683,5,241,1539
불광2동,0,1.38,11294,29328,21252,2796835,18784853382,22103.5938,19819.0381,1,1749,1347
응암3동,0,0.63,10747,27254,43260,2632068,12081538641,24753.6434,23472.6426,4,1193,1815
홍은1동,0,1.58,8838,24842,15723,3191885,9393196018,15282.1988,13574.7083,1,484,981
홍은2동,0,2.06,11185,30401,14758,2941419,11334060070,26905.7152,25623.7988,4,1390,1168
남가좌2동,0,0.77,11427,27549,35778,2926339,16293983540,20621.9715,18448.8904,4,1002,1308
북가좌1동,0,0.52,6485,19844,38162,3533136,11583621072,15093.7615,13588.268,3,313,642
북가좌2동,0,0.84,12532,34629,41225,2692596,17278848817,36285.514,34716.0764,4,1614,2330
연희동,0,3.05,17270,41860,13725,3080319,8573711915,47841.3084,39792.4796,7,2490,2248
망원2동,0,0.67,7527,20809,31058,3028847,16447745961,20077.9587,19397.2737,2,869,1362
연남동,0,0.65,8149,19157,29472,3207936,16157703922,20425.0509,23270.0285,1,1270,1506
목4동,0,0.57,9184,28044,49200,3328341,22013683130,17113.213,15187.5999,3,1055,1326
신월1동,0,0.65,9247,23851,36694,2629472,10766413332,16641.7616,15326.3347,3,1410,1775
신월3동,0,0.87,7188,18461,21220,2362645,10779220620,14488.8873,14667.2259,1,559,958
신월4동,0,0.52,6401,19914,38296,2855855,12707006498,14115.1865,12821.6355,1,524,1164
신월5동,0,0.69,5548,16490,23899,3528027.763,10397154720,11850.0354,11699.8342,0,721,1010
신월6동,0,0.41,4109,11841,28880,3291392,9804513793,6125.8415,7251.673,2,274,1460
신월7동,0,1.19,8360,23919,20100,2617402,8530283074,20955.0758,19741.4437,2,652,1391
신정2동,0,0.52,6697,21953,42217,5097571,16439786510,15397.3682,14399.6486,1,268,1104
신정3동,0,2.72,18767,55866,20539,2995812,16760983057,39480.3068,33245.4543,1,637,1882
목5동,0,1.81,12863,44545,24610,3406522.348,14473225187,42162.7542,41416.3421,9,76,1525
